age,gender,census_region,n
62,Male,Midwest,202
62,Male,South,670
62,Male,West,794
63,Female,Northeast,575
63,Female,Midwest,193
63,Female,South,724
63,Female,West,977
63,Male,Northeast,488
63,Male,Midwest,175
63,Male,South,656
63,Male,West,843
64,Female,Northeast,554
64,Female,Midwest,205
64,Female,South,710
64,Female,West,925
64,Male,Northeast,417
64,Male,Midwest,192
64,Male,South,608
64,Male,West,762
65,Female,Northeast,491
65,Female,Midwest,218
65,Female,South,707
65,Female,West,822
65,Male,Northeast,432
65,Male,Midwest,179
65,Male,South,622
65,Male,West,720
66,Female,Northeast,486
66,Female,Midwest,187
66,Female,South,710
66,Female,West,857
66,Male,Northeast,491
66,Male,Midwest,171
66,Male,South,583
66,Male,West,794
67,Female,Northeast,509
67,Female,Midwest,170
67,Female,South,628
67,Female,West,794
67,Male,Northeast,415
67,Male,Midwest,153
67,Male,South,520
67,Male,West,672
68,Female,Northeast,450
68,Female,Midwest,163
68,Female,South,603
68,Female,West,832
68,Male,Northeast,403
68,Male,Midwest,175
68,Male,South,511
68,Male,West,633
69,Female,Northeast,478
69,Female,Midwest,180
69,Female,South,569
69,Female,West,747
69,Male,Northeast,430
69,Male,Midwest,150
69,Male,South,506
69,Male,West,655
70,Female,Northeast,442
70,Female,Midwest,148
70,Female,South,588
70,Female,West,755
70,Male,Northeast,331
70,Male,Midwest,151
70,Male,South,458
70,Male,West,613
71,Female,Northeast,493
71,Female,Midwest,161
71,Female,South,577
71,Female,West,735
71,Male,Northeast,385
71,Male,Midwest,137
71,Male,South,502
71,Male,West,625
72,Female,Northeast,446
72,Female,Midwest,181
72,Female,South,524
72,Female,West,702
72,Male,Northeast,368
72,Male,Midwest,161
72,Male,South,455
72,Male,West,543
73,Female,Northeast,389
73,Female,Midwest,152
73,Female,South,486
73,Female,West,618
73,Male,Northeast,321
73,Male,Midwest,146
73,Male,South,374
73,Male,West,482
74,Female,Northeast,341
74,Female,Midwest,138
74,Female,South,432
74,Female,West,590
74,Male,Northeast,272
74,Male,Midwest,107
74,Male,South,357
74,Male,West,426
75,Female,Northeast,324
75,Female,Midwest,117
75,Female,South,462
75,Female,West,522
75,Male,Northeast,270
75,Male,Midwest,94
75,Male,South,327
75,Male,West,428
76,Female,Northeast,321
76,Female,Midwest,118
76,Female,South,385
76,Female,West,472
76,Male,Northeast,239
76,Male,Midwest,98
76,Male,South,295
76,Male,West,330
77,Female,Northeast,247
77,Female,Midwest,84
77,Female,South,382
77,Female,West,434
77,Male,Northeast,235
77,Male,Midwest,83
77,Male,South,308
77,Male,West,373
78,Female,Northeast,291
78,Female,Midwest,113
78,Female,South,398
78,Female,West,455
78,Male,Northeast,215
78,Male,Midwest,86
78,Male,South,241
78,Male,West,329
79,Female,Northeast,281
79,Female,Midwest,100
79,Female,South,380
79,Female,West,383
79,Male,Northeast,202
79,Male,Midwest,71
79,Male,South,262
79,Male,West,327
